From,To,bearing,distance
N,O,119.20784934362143,3.7132968779949977
N,R1,251.1895077860617,3.5648190437491185
N,R2,247.03592515495393,3.3418901226304008
N,RYC,280.0679016314415,3.286680233669655
N,T,254.43062121540214,2.8143609840722843
N,S/F,100.00607629495471,7.81519088858461
N,U,255.7615641022225,2.540318107999203
N,V,251.1941670009167,1.7985292518023213
N,W,257.64588689147683,3.064758449024319
N,X,271.3273336575823,3.789262274261252
N,Y,268.80642889183224,3.9756950857160347
N,Z,274.0051038699759,3.614485975490261
O,A,281.8286525954069,6.689078117137169
O,B,291.52243507224733,4.9624206563397655
O,D,303.6049790220955,1.316209915168982
O,E,27.23106915830823,1.4403822058219564
O,G,57.643601317778234,4.127811347126576
O,H,84.23067075079479,4.478238798948597
O,I,359.36038322983666,9.57455711109236
O,J,263.09791987977604,0.9355538526851839
O,K,298.07095774021695,4.224341781432684
O,L,268.8343630499752,3.6245320969160577
O,M,113.47453112525926,4678.560265608703
O,N,299.2585973461226,3.7132968779949977
O,O,13,0
O,R1,275.770037944059,6.648690104101418
O,R2,274.64901447561675,6.338616795662928
O,RYC,290.27732929122385,6.902924864370313
O,T,280.1168110696382,6.045318208491092
O,S/F,84.2308519146311,4.4782286523254955
O,U,281.8092280387472,5.825702138954401
O,V,284.04675283928566,5.0949436990457215
O,W,280.5570962468235,6.341274699681883
O,X,285.17433026120557,7.281612568344176
O,Y,283.526623055988,7.420297944006429
O,Z,286.82993326810544,7.151300241758436
R1,A,5.430651840723442,0.7060102974638959
R1,B,59.94446806468147,2.3068865226125146
R1,D,89.2828447081746,5.519094642723847
R1,E,85.09454055820498,7.299819744835258
R1,G,81.2344441260226,10.218728086530392
R1,H,91.03564888581451,11.072710337064601
R1,I,36.06526420916151,11.030138443692246
R1,J,97.72540816584547,5.739595518160306
R1,K,65.34964256262441,3.1747400265168233
R1,L,103.84070649745217,3.081918028702995
R1,M,113.37356528457263,4684.894184234995
R1,N,71.1464083467107,3.5648190437491185
R1,O,95.67621435687028,6.648690104101418
R1,R1,13,0
R1,R2,117.3975982116412,0.33507895342848937
R1,RYC,4.545130779284534,1.7295407246334038
R1,T,59.2447246722125,0.7715457396104334
R1,S/F,91.03572793140978,11.072701965094286
R1,U,60.05117655936999,1.0522525284173718
R1,V,71.14166408889207,1.7662898040966906
R1,W,37.58710282936556,0.6234120504021377
R1,X,341.4628416835244,1.3045853501884652
R1,Y,330.58140621976776,1.2239991813107864
R1,Z,350.59054224623793,1.4208342787213717
R2,A,344.9400026971872,0.8875337181912781
R2,B,52.38339453348976,2.145293332296183
R2,D,87.55600078473378,5.225939200723928
R2,E,83.63727360081015,7.018884366797792
R2,G,80.10043069156382,9.950170204862111
R2,H,90.2489533544217,10.7735047708469
R2,I,34.34181591147137,10.984636782376938
R2,J,96.53865948138514,5.425246546446381
R2,K,60.26819920450322,2.980400735369989
R2,L,102.21293630224358,2.7572941460857234
R2,M,113.37809843501572,4684.559931363521
R2,N,66.99744367927894,3.3418901226304008
R2,O,94.5598087590817,6.338616795662928
R2,R1,297.40221408348,0.33507895342848937
R2,R2,13,0
R2,RYC,355.12242390784706,1.8851321434887076
R2,T,33.67408331161636,0.6593428118420501
R2,S/F,90.2490339726462,10.773496188653302
R2,U,42.11734675950305,0.9159858300317744
R2,V,62.18213609065225,1.5535787426668652
R2,W,7.281107669999017,0.653461971933501
